id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
5116,Kepler-212 c,2242,7.95 Earths,13.129,2014
5117,Kepler-213 b,2071,3.26 Earths,13.705,2014
5118,Kepler-213 c,2071,6.08 Earths,13.705,2014
5119,Kepler-214 b,3942,7.32 Earths,14.057,2014
5120,Kepler-214 c,3942,5.18 Earths,14.057,2014
5121,Kepler-215 b,1585,3.26 Earths,13.678,2014
5122,Kepler-215 c,1585,3.78 Earths,13.678,2014
5123,Kepler-215 d,1585,23.6 Earths,13.678,2014
5124,Kepler-215 e,1585,3.71 Earths,13.678,2014
5125,Kepler-223 d,6066,8 Earths,15.69,2014
5126,Kepler-223 e,6066,4.8 Earths,15.69,2014
5127,Kepler-224 b,2551,2.51 Earths,15.801,2014
5128,Kepler-224 c,2551,9.91 Earths,15.801,2014
5129,Kepler-224 d,2551,5.9 Earths,15.801,2014
5130,Kepler-224 e,2551,4.54 Earths,15.801,2014
5131,Kepler-225 b,1830,1.87 Earths,16.294,2014
5132,Kepler-225 c,1830,4.04 Earths,16.294,2014
5133,Kepler-226 b,3197,24 Earths,15.563,2014
5134,Kepler-226 c,3197,0.142 Jupiters,15.563,2014
5135,Kepler-226 d,3197,1.98 Earths,15.563,2014
5136,Kepler-227 b,3533,9.85 Earths,15.623,2014
5137,Kepler-227 c,3533,9.48 Earths,15.623,2014
5138,Kepler-228 b,5365,2.96 Earths,15.902,2014
5139,Kepler-228 c,5365,7.75 Earths,15.902,2014
5140,Kepler-228 d,5365,15.4 Earths,15.902,2014
5141,Kepler-229 b,2695,5.48 Earths,16.22,2014
5142,Kepler-229 c,2695,21.5 Earths,16.22,2014
5143,Kepler-229 d,2695,14.2 Earths,16.22,2014
5144,Kepler-22 b,635,36 Earths,11.751,2011
5145,Kepler-230 b,2416,16.8 Earths,15.264,2014
5146,Kepler-230 c,2416,4.82 Earths,15.264,2014
5147,Kepler-231 b,1033,35.4 Earths,15.813,2014
5148,Kepler-231 c,1033,24.1 Earths,15.813,2014
5149,Kepler-232 b,4401,9.69 Earths,15.565,2014
5150,Kepler-223 d,6066,8 Earths,15.69,2014
5151,Kepler-223 e,6066,4.8 Earths,15.69,2014
5152,Kepler-224 b,2551,2.51 Earths,15.801,2014
5153,Kepler-224 c,2551,9.91 Earths,15.801,2014
